order_id,customer_id,order_date,channel,store_id,order_status,order_year,order_month
ORD0000000,CUST03080,2024-09-06,Store,STORE038,Returned,2024,9
ORD0000001,CUST00191,2023-06-01,Store,STORE009,Cancelled,2023,6
ORD0000002,CUST02367,2024-04-13,Store,STORE029,Cancelled,2024,4
ORD0000003,CUST03515,2024-09-05,Online,ONLINE,Delivered,2024,9
ORD0000004,CUST00780,2024-04-16,Store,STORE004,Delivered,2024,4
ORD0000005,CUST00613,2024-08-23,App,ONLINE,Delivered,2024,8
ORD0000006,CUST03959,2024-07-25,Online,ONLINE,Cancelled,2024,7
ORD0000007,CUST03660,2023-03-06,Online,ONLINE,Returned,2023,3
ORD0000008,CUST04130,2024-05-10,App,ONLINE,Delivered,2024,5
ORD0000009,CUST01126,2023-10-22,Store,STORE021,Delivered,2023,10
ORD0000010,CUST01162,2024-05-02,App,ONLINE,Shipped,2024,5
ORD0000011,CUST00233,2024-06-08,App,ONLINE,Returned,2024,6
ORD0000012,CUST02552,2023-09-22,Store,STORE026,Delivered,2023,9
ORD0000013,CUST00416,2023-11-17,App,ONLINE,Cancelled,2023,11
ORD0000014,CUST03787,2024-04-11,App,ONLINE,Returned,2024,4
ORD0000015,CUST01525,2023-03-08,App,ONLINE,Returned,2023,3
ORD0000016,CUST02730,2024-08-28,App,ONLINE,Delivered,2024,8
ORD0000017,CUST00874,2023-11-18,Store,STORE023,Returned,2023,11
ORD0000018,CUST03275,2024-09-21,Store,STORE023,Returned,2024,9
ORD0000019,CUST02701,2023-07-17,Store,STORE047,Returned,2023,7
ORD0000020,CUST01306,2024-12-24,App,ONLINE,Returned,2024,12
ORD0000021,CUST03101,2023-03-09,Online,ONLINE,Cancelled,2023,3
ORD0000022,CUST03339,2023-05-02,Store,STORE043,Returned,2023,5
ORD0000023,CUST00409,2024-05-20,Store,STORE004,Delivered,2024,5
ORD0000024,CUST04985,2023-09-07,App,ONLINE,Delivered,2023,9
ORD0000025,CUST03951,2023-12-27,Store,STORE010,Delivered,2023,12
ORD0000026,CUST00903,2024-04-15,App,ONLINE,Delivered,2024,4
ORD0000027,CUST04577,2024-03-21,Online,ONLINE,Cancelled,2024,3
ORD0000028,CUST04977,2023-07-31,App,ONLINE,Shipped,2023,7
ORD0000029,CUST03708,2023-10-05,Online,ONLINE,Cancelled,2023,10
ORD0000030,CUST00678,2024-09-16,Store,STORE029,Delivered,2024,9
ORD0000031,CUST01871,2023-12-05,App,ONLINE,Delivered,2023,12
ORD0000032,CUST04667,2023-02-27,Store,STORE038,Cancelled,2023,2
ORD0000033,CUST01147,2023-01-13,Online,ONLINE,Delivered,2023,1
ORD0000034,CUST00467,2023-04-25,Online,ONLINE,Returned,2023,4
ORD0000035,CUST00975,2024-08-18,Online,ONLINE,Returned,2024,8
ORD0000036,CUST04887,2024-04-18,Store,STORE039,Delivered,2024,4
ORD0000037,CUST00114,2024-02-23,Online,ONLINE,Returned,2024,2
ORD0000038,CUST04355,2024-11-09,Online,ONLINE,Shipped,2024,11
ORD0000039,CUST00932,2023-06-09,Online,ONLINE,Returned,2023,6
ORD0000040,CUST00866,2023-07-10,App,ONLINE,Cancelled,2023,7
ORD0000041,CUST01359,2023-03-06,Online,ONLINE,Cancelled,2023,3
ORD0000042,CUST01794,2023-08-10,Online,ONLINE,Delivered,2023,8
ORD0000043,CUST04096,2024-03-15,Online,ONLINE,Cancelled,2024,3
ORD0000044,CUST04732,2024-02-11,App,ONLINE,Shipped,2024,2
