product_id,warehouse_id,change_qty,reason,date
PROD00578,WH005,-44,Restock,2024-04-30
PROD00704,WH006,82,Restock,2023-01-16
PROD00453,WH005,0,Restock,2023-07-20
PROD00702,WH007,52,Sale,2023-10-17
PROD00119,WH009,47,Sale,2024-10-22
PROD00160,WH006,82,Sale,2023-01-19
PROD00794,WH009,-3,Return,2023-10-05
PROD00299,WH009,-19,Sale,2024-10-30
PROD00366,WH008,-27,Sale,2023-12-08
PROD00099,WH009,42,Return,2024-07-21
PROD00502,WH004,91,Return,2023-11-22
PROD00060,WH006,-40,Return,2024-10-30
PROD00755,WH005,9,Return,2024-05-31
PROD00302,WH009,37,Return,2023-11-11
PROD00277,WH006,-49,Restock,2024-09-27
PROD00678,WH005,-49,Sale,2024-07-06
PROD00547,WH002,16,Restock,2023-05-25
PROD00048,WH005,19,Restock,2024-11-10
PROD00330,WH003,-34,Sale,2023-12-11
PROD00555,WH002,64,Return,2024-06-15
PROD00743,WH002,51,Sale,2024-08-17
PROD00060,WH008,70,Return,2023-02-19
PROD00684,WH009,-35,Sale,2023-10-26
PROD00505,WH002,65,Sale,2024-08-17
PROD00764,WH008,65,Return,2023-09-12
PROD00660,WH000,-46,Sale,2023-10-11
PROD00522,WH002,54,Restock,2024-01-26
PROD00007,WH000,54,Restock,2024-12-10
PROD00311,WH001,-14,Restock,2024-04-17
PROD00645,WH009,56,Sale,2024-08-01
PROD00532,WH000,47,Sale,2024-12-17
PROD00018,WH001,50,Return,2023-04-07
PROD00390,WH002,23,Restock,2023-03-29
PROD00159,WH007,90,Return,2024-02-26
PROD00784,WH001,-32,Sale,2024-03-10
PROD00540,WH007,19,Return,2024-06-01
PROD00725,WH000,99,Restock,2024-11-11
PROD00019,WH009,32,Sale,2024-10-17
PROD00703,WH002,-23,Restock,2023-12-20
PROD00132,WH006,22,Restock,2023-09-26
PROD00581,WH003,16,Restock,2023-01-11
PROD00287,WH004,92,Return,2023-08-24
PROD00024,WH001,25,Return,2023-02-23
PROD00687,WH004,30,Restock,2024-10-30
PROD00623,WH008,-44,Return,2024-01-08
PROD00075,WH008,25,Sale,2024-12-24
PROD00229,WH002,-19,Return,2024-01-21
PROD00090,WH001,9,Restock,2024-06-13
PROD00743,WH002,24,Restock,2024-07-20
PROD00300,WH004,66,Restock,2024-03-30
PROD00490,WH001,-40,Restock,2024-08-06
PROD00716,WH000,84,Sale,2023-01-07
PROD00421,WH008,32,Restock,2024-10-30
PROD00754,WH004,-35,Return,2023-12-27
PROD00339,WH002,42,Return,2023-07-26
PROD00637,WH004,20,Sale,2024-04-05
