product_id,warehouse_id,stock_quantity,last_updated
PROD00000,WH000,263,2026-04-13
PROD00000,WH001,565,2026-04-13
PROD00000,WH002,284,2026-04-13
PROD00000,WH003,20,2026-04-13
PROD00000,WH004,203,2026-04-13
PROD00000,WH005,768,2026-04-13
PROD00000,WH006,683,2026-04-13
PROD00000,WH007,247,2026-04-13
PROD00000,WH008,245,2026-04-13
PROD00000,WH009,857,2026-04-13
PROD00001,WH000,19,2026-04-13
PROD00001,WH001,341,2026-04-13
PROD00001,WH002,618,2026-04-13
PROD00001,WH003,904,2026-04-13
PROD00001,WH004,102,2026-04-13
PROD00001,WH005,428,2026-04-13
PROD00001,WH006,356,2026-04-13
PROD00001,WH007,865,2026-04-13
PROD00001,WH008,185,2026-04-13
PROD00001,WH009,270,2026-04-13
PROD00002,WH000,907,2026-04-13
PROD00002,WH001,953,2026-04-13
PROD00002,WH002,724,2026-04-13
PROD00002,WH003,899,2026-04-13
PROD00002,WH004,698,2026-04-13
PROD00002,WH005,904,2026-04-13
PROD00002,WH006,686,2026-04-13
PROD00002,WH007,826,2026-04-13
PROD00002,WH008,172,2026-04-13
PROD00002,WH009,606,2026-04-13
PROD00003,WH000,921,2026-04-13
PROD00003,WH001,210,2026-04-13
PROD00003,WH002,543,2026-04-13
PROD00003,WH003,599,2026-04-13
PROD00003,WH004,424,2026-04-13
PROD00003,WH005,363,2026-04-13
PROD00003,WH006,579,2026-04-13
PROD00003,WH007,24,2026-04-13
PROD00003,WH008,928,2026-04-13
PROD00003,WH009,132,2026-04-13
PROD00004,WH000,824,2026-04-13
PROD00004,WH001,832,2026-04-13
PROD00004,WH002,831,2026-04-13
PROD00004,WH003,83,2026-04-13
PROD00004,WH004,212,2026-04-13
PROD00004,WH005,307,2026-04-13
PROD00004,WH006,787,2026-04-13
PROD00004,WH007,286,2026-04-13
PROD00004,WH008,534,2026-04-13
PROD00004,WH009,360,2026-04-13
PROD00005,WH000,914,2026-04-13
PROD00005,WH001,201,2026-04-13
PROD00005,WH002,508,2026-04-13
PROD00005,WH003,536,2026-04-13
PROD00005,WH004,532,2026-04-13
PROD00005,WH005,698,2026-04-13
PROD00005,WH006,998,2026-04-13
PROD00005,WH007,288,2026-04-13
PROD00005,WH008,149,2026-04-13
