order_id,customer_id,order_date,channel,store_id,order_status
ORD0000000,CUST03080,2024-09-06,Store,STORE038,Returned
ORD0000001,CUST00191,2023-06-01,Store,STORE009,Cancelled
ORD0000002,CUST02367,2024-04-13,Store,STORE029,Cancelled
ORD0000003,CUST03515,2024-09-05,Online,,Delivered
ORD0000004,CUST00780,2024-04-16,Store,STORE004,Delivered
ORD0000005,CUST00613,2024-08-23,App,,Delivered
ORD0000006,CUST03959,2024-07-25,Online,,Cancelled
ORD0000007,CUST03660,2023-03-06,Online,,Returned
ORD0000008,CUST04130,2024-05-10,App,,Delivered
ORD0000009,CUST01126,2023-10-22,Store,STORE021,Delivered
ORD0000010,CUST01162,2024-05-02,App,,Shipped
ORD0000011,CUST00233,2024-06-08,App,,Returned
ORD0000012,CUST02552,2023-09-22,Store,STORE026,Delivered
ORD0000013,CUST00416,2023-11-17,App,,Cancelled
ORD0000014,CUST03787,2024-04-11,App,,Returned
ORD0000015,CUST01525,2023-03-08,App,,Returned
ORD0000016,CUST02730,2024-08-28,App,,Delivered
ORD0000017,CUST00874,2023-11-18,Store,STORE023,Returned
ORD0000018,CUST03275,2024-09-21,Store,STORE023,Returned
ORD0000019,CUST02701,2023-07-17,Store,STORE047,Returned
ORD0000020,CUST01306,2024-12-24,App,,Returned
ORD0000021,CUST03101,2023-03-09,Online,,Cancelled
ORD0000022,CUST03339,2023-05-02,Store,STORE043,Returned
ORD0000023,CUST00409,2024-05-20,Store,STORE004,Delivered
ORD0000024,CUST04985,2023-09-07,App,,Delivered
ORD0000025,CUST03951,2023-12-27,Store,STORE010,Delivered
ORD0000026,CUST00903,2024-04-15,App,,Delivered
ORD0000027,CUST04577,2024-03-21,Online,,Cancelled
ORD0000028,CUST04977,2023-07-31,App,,Shipped
ORD0000029,CUST03708,2023-10-05,Online,,Cancelled
ORD0000030,CUST00678,2024-09-16,Store,STORE029,Delivered
ORD0000031,CUST01871,2023-12-05,App,,Delivered
ORD0000032,CUST04667,2023-02-27,Store,STORE038,Cancelled
ORD0000033,CUST01147,2023-01-13,Online,,Delivered
ORD0000034,CUST00467,2023-04-25,Online,,Returned
ORD0000035,CUST00975,2024-08-18,Online,,Returned
ORD0000036,CUST04887,2024-04-18,Store,STORE039,Delivered
ORD0000037,CUST00114,2024-02-23,Online,,Returned
ORD0000038,CUST04355,2024-11-09,Online,,Shipped
ORD0000039,CUST00932,2023-06-09,Online,,Returned
ORD0000040,CUST00866,2023-07-10,App,,Cancelled
ORD0000041,CUST01359,2023-03-06,Online,,Cancelled
ORD0000042,CUST01794,2023-08-10,Online,,Delivered
ORD0000043,CUST04096,2024-03-15,Online,,Cancelled
ORD0000044,CUST04732,2024-02-11,App,,Shipped
ORD0000045,CUST04665,2023-12-20,Store,STORE015,Returned
ORD0000046,CUST02474,2023-02-08,App,,Cancelled
ORD0000047,CUST00949,2023-10-06,App,,Cancelled
ORD0000048,CUST03023,2024-10-08,Store,STORE005,Cancelled
ORD0000049,CUST03879,2023-09-17,Store,STORE012,Delivered
